parameter,label,factor,b,F,G,H,S,a_hat,a_H_dim,tau_mode_H,tau_mean_H,omega_0_dim,T_0,N_star,P_star,G_4,ell_1,a_H_ratio,tau_ratio,omega_ratio,P_star_ratio
K,$K$,1.016,0.22316886537059014,0.9501956575292034,-0.44633773074118027,-2.0,-0.0,2.36727823581889,0.3663197360453225,2.729855646861124,5.459711293722248,0.05258334129390244,119.49003529580163,20.0,1.426233598784037,-1.998455847070673,-2.9405420569871374,1.0368776012705947,0.9644339879409057,1.0029619589291363,1.0016935559922218
K,$K$,1.02,0.22229369334952898,0.9505855138970256,-0.44458738669905795,-2.0,-0.0,2.3885064389131045,0.36960465187673053,2.7055936523588917,5.411187304717783,0.05262047483592349,119.405712828918,20.0,1.426818769055109,-1.9999303880915889,-2.9406350760748072,1.0461756415138448,0.9558624386943024,1.0036702351461086,1.0021045414648615
K,$K$,1.024,0.22142535860988238,0.950970810564485,-0.44285071721976477,-2.0,-0.0,2.4098067002036916,0.37290071820961984,2.68167893266933,5.36335786533866,0.05265696267030778,119.32297247221496,20.0,1.4273970952643227,-2.00136019700834,-2.940698297627915,1.0555052435434014,0.9474135785843502,1.0043661952914826,1.002510720114365
K,$K$,1.028,0.22056378133902682,0.95135161836143,-0.44112756267805364,-2.0,-0.0,2.4311791372112386,0.3762079532294787,2.658104358017178,5.316208716034356,0.05269281903154007,119.24177568519711,20.0,1.4279686837265286,-2.002746603027885,-2.9407329432008766,1.0648664588337646,0.9390848887241635,1.0050501108703844,1.0029121666093568
K,$K$,1.032,0.21970888296174373,0.9517280067477027,-0.43941776592348747,-2.0,-0.0,2.4526238656253776,0.3795263748384678,2.6348629931862186,5.269725986372437,0.05272805777900145,119.1620850802856,20.0,1.428533638700213,-2.004090892890034,-2.9407401874944945,1.0742593380574694,0.9308739189628559,1.0057222462333033,1.0033089541742044
K,$K$,1.036,0.21886058611633163,0.9521000438448158,-0.43772117223266327,-2.0,-0.0,2.4741409993296237,0.38285600065926395,2.6119480908697703,5.223896181739541,0.05276269240836602,119.08386438185873,20.0,1.429092062435043,-2.005394312327084,-2.940721160234288,1.0836839310959636,0.9227782855363267,1.00638285879347,1.0037011546224122
K,$K$,1.04,0.21801881463126882,0.9524677964667765,-0.43603762926253764,-2.0,-0.0,2.4957306504263124,0.38619684803891885,2.5893530852929834,5.178706170585967,0.05279673606260851,119.00707838698078,20.0,1.4296440552181349,-2.006658067470418,-2.9406769479684507,1.093140287050531,0.9147956688140746,1.0070321992368114,1.0040888383891169
K,$K$,1.044,0.21718349350241337,0.9528313301500871,-0.43436698700482673,-2.0,-0.0,2.5173929292616184,0.3895489340527306,2.5670715860940767,5.134143172188153,0.052830201542638094,118.9316929277388,20.0,1.4301897154190826,-2.0078833262060747,-2.9406085957891217,1.1026284542532498,0.906923811137493,1.0076705117247793,1.004472074562712
K,$K$,1.048,0.21635454887072478,0.9531907091829451,-0.43270909774144956,-2.0,-0.0,2.539127944450609,0.3929122755081206,2.5450973724523718,5.0901947449047436,0.05286310131757189,118.85767483511287,20.0,1.430729139533789,-2.009071219481183,-2.9405171089804734,1.1121484802779662,0.8991605147453547,1.0082980340903036,1.0048509309156328
K,$K$,1.052,0.21553190800049388,0.9535459966336667,-0.43106381600098775,-2.0,-0.0,2.5609358029022977,0.3962868889485102,2.5234243874516133,5.046848774903227,0.052895447534661764,118.78499190430875,20.0,1.4312624222271275,-2.01022284256311,-2.940403454596959,1.1217004119512675,0.8915036397824244,1.0089149980271346,1.0052254739343183
K,$K$,1.056,0.2147154992580678,0.9538972543783587,-0.4294309985161356,-2.0,-0.0,2.582816609844653,0.39967279065719113,2.502046732667683,5.004093465335366,0.05292725202888708,118.71361286148573,20.0,1.4317896563744772,-2.0113392562530987,-2.940268562974908,1.131284295363437,0.8839511023873441,1.0095216292728113,1.0055957688483839
K,$K$,1.06,0.2139052520910562,0.9542445431278617,-0.4278105041821124,-2.0,-0.0,2.604770468849568,0.40306999666118865,2.480958662970335,4.96191732594067,0.05295852633222613,118.64350733181496,20.0,1.4323109331021657,-2.012421488056084,-2.9401133291804387,1.1409001758793893,0.8765008728561325,1.0101181477855046,1.0059618796590248
