key,label,normalized_time,n,p,q,r
theta_2,$1-n^2$,1.698333333333311,0.43386205646766596,0.2744033256140401,0.37150582538700944,0.3966401955766315
theta_2,$1-n^2$,1.6999999999999738,0.43550851098772325,0.2733939726142005,0.3723710496420591,0.3979174082504274
theta_2,$1-n^2$,1.7016666666666365,0.4371647973975048,0.27239516937209046,0.37325031565274386,0.39920718188497945
theta_2,$1-n^2$,1.7033333333332992,0.43883075856077713,0.2714069367637236,0.37414357212943405,0.4005094222268511
theta_2,$1-n^2$,1.7049999999999619,0.4405062344527618,0.2704292947919865,0.3750507663009442,0.40182403286418567
theta_2,$1-n^2$,1.7066666666666246,0.4421910621524703,0.2694622626116335,0.375971843891575,0.4031509152019668
theta_2,$1-n^2$,1.7083333333332873,0.4438850758366246,0.2685058585538765,0.37690674909920396,0.4044899684374689
theta_2,$1-n^2$,1.70999999999995,0.44558810677522137,0.26756010015063814,0.37785542457392207,0.405841089536132
theta_2,$1-n^2$,1.711666666666718,0.44729998332890275,0.26662500415847895,0.3788178113967771,0.4072041732081806
theta_2,$1-n^2$,1.7133333333333807,0.44902053094754346,0.2657005865826214,0.3797938490577546,0.408579111885703
theta_2,$1-n^2$,1.7150000000000434,0.45074957217173284,0.264786862700255,0.38078347543340924,0.4099657957017181
theta_2,$1-n^2$,1.716666666666706,0.45248692663504597,0.2638838470843739,0.38178662676242936,0.4113641124697405
theta_2,$1-n^2$,1.7183333333333688,0.45423241106878276,0.2629915536273281,0.38280323761954194,0.4127739476653683
theta_2,$1-n^2$,1.7200000000000315,0.4559858393085822,0.2621099955645134,0.383833240886894,0.4141951844096122
theta_2,$1-n^2$,1.7216666666666942,0.45774702230307884,0.26123918549821007,0.38487656772246914,0.4156277034542847
theta_2,$1-n^2$,1.7233333333333571,0.45951576812460293,0.2603791354214198,0.385933147526674,0.41707138316903103
theta_2,$1-n^2$,1.7250000000000199,0.46129188197942567,0.25952985673165924,0.38700290798052517,0.4185260995017207
theta_2,$1-n^2$,1.7266666666666826,0.46307516622262285,0.25869136025563977,0.3880857750002041,0.4199917259736027
theta_2,$1-n^2$,1.7283333333333453,0.46486542037560974,0.25786365627486946,0.38918167268777254,0.42146813367403557
theta_2,$1-n^2$,1.730000000000008,0.4666624411439701,0.2570467545445964,0.39029052332553366,0.4229551912415502
theta_2,$1-n^2$,1.7316666666666707,0.4684660224379215,0.25624066431475007,0.39141224735341046,0.4244527648530194
theta_2,$1-n^2$,1.7333333333333334,0.47027595539491973,0.25544539435056424,0.3925467633473532,0.42596071821335113
theta_2,$1-n^2$,1.734999999999996,0.4720920284044102,0.2546609529528865,0.39369398799864636,0.42747891254587156
theta_2,$1-n^2$,1.7366666666666588,0.47391402713473524,0.25388734797817697,0.3948538360939853,0.4290072065835697
theta_2,$1-n^2$,1.7383333333333215,0.4757417345622047,0.253124586858202,0.3960262204961952,0.43054545656137
theta_2,$1-n^2$,1.7399999999999842,0.47757493100233944,0.2523726766194249,0.39721105212546126,0.4320935162096022
theta_2,$1-n^2$,1.741666666666647,0.47941339414329437,0.2516316239020998,0.3984082399409417,0.4336512367488381
theta_2,$1-n^2$,1.7433333333333096,0.4812568990814707,0.2509014349790707,0.39961769092263505,0.4352184668862625
theta_2,$1-n^2$,1.7449999999999724,0.4831052183593245,0.2501821157742812,0.4008393100533712,0.436795052813748
theta_2,$1-n^2$,1.746666666666635,0.48495812200538146,0.24947367188099803,0.4020730003007983,0.4383808382078017
theta_2,$1-n^2$,1.7483333333332978,0.48681537757646376,0.24877610857975307,0.4033186625992355,0.4399756642315534
theta_2,$1-n^2$,1.7499999999999605,0.48867675020213963,0.2480894308560071,0.4045761958312628,0.4415793695389526
theta_2,$1-n^2$,1.7516666666666232,0.4905420026314027,0.24741364341753994,0.4058454968089188,0.4431917902813446
theta_2,$1-n^2$,1.753333333333286,0.4924108952816475,0.24674875071154684,0.407126460263372,0.4448127601072895
theta_2,$1-n^2$,1.7549999999999486,0.49428318628918955,0.24609475694002933,0.40841897885109535,0.4464421101548879
theta_2,$1-n^2$,1.7566666666667168,0.49615863156281703,0.24545166607727123,0.4097229431149443,0.44807966908067715
theta_2,$1-n^2$,1.7583333333333795,0.49803698483899056,0.2448194818867427,0.41103824147403506,0.4497252630622815
